index	name	abbreviation	r	g	b	a
2005	ctx-rh-cuneus	ctx-rh-cuneus	220	20	100	0
2006	ctx-rh-entorhinal	ctx-rh-entorhinal	220	20	10	0
2007	ctx-rh-fusiform	ctx-rh-fusiform	180	220	140	0
2008	ctx-rh-inferiorparietal	ctx-rh-inferiorparietal	220	60	220	0
2009	ctx-rh-inferiortemporal	ctx-rh-inferiortemporal	180	40	120	0
2010	ctx-rh-isthmuscingulate	ctx-rh-isthmuscingulate	140	20	140	0
2011	ctx-rh-lateraloccipital	ctx-rh-lateraloccipital	20	30	140	0
2012	ctx-rh-lateralorbitofrontal	ctx-rh-lateralorbitofrontal	35	75	50	0
2013	ctx-rh-lingual	ctx-rh-lingual	225	140	140	0
2014	ctx-rh-medialorbitofrontal	ctx-rh-medialorbitofrontal	200	35	75	0
2015	ctx-rh-middletemporal	ctx-rh-middletemporal	160	100	50	0
2016	ctx-rh-parahippocampal	ctx-rh-parahippocampal	20	220	60	0
2017	ctx-rh-paracentral	ctx-rh-paracentral	60	220	60	0
2018	ctx-rh-parsopercularis	ctx-rh-parsopercularis	220	180	140	0
